t_video_s,LinPower_true,video,LinPower_fit_mse,LinPower_fit_anchor
1788.6,760000.0,88.17469867615081,732083.372108177,728076.3165042561
1788.7,760000.0,88.07908560244773,730455.4999662302,726570.8685384721
1788.8,760000.0,88.14746222919572,731619.6546318254,727647.472915449
1788.9,760000.0,88.17841093225559,732146.5755809103,728134.7667578142
1789.0,766000.0,88.08485303585994,730553.6941128948,726661.6779912168
1789.1,766000.0,88.05427713833834,730033.1204103383,726180.2540505026
1789.2,766000.0,88.01987322805668,729447.3724058815,725638.5572433341
1789.3,766000.0,88.0154327467211,729371.7704449461,725568.6409302731
1789.4,763000.0,88.04596683355969,729891.6322945785,726049.4065529846
1789.5,763000.0,88.032167905365,729656.6969460233,725832.139524783
1789.6,763000.0,88.06463327803547,730209.4401400378,726343.3136493275
1789.7,763000.0,88.0079014003601,729243.5445814987,725450.0582969608
1789.8,763000.0,88.20472902716043,732594.6575415188,728549.150700337
1789.9,763000.0,88.26031829285596,733541.0994193112,729424.4153866356
1790.0,763000.0,88.2761623626353,733810.8545773658,729673.8835994569
1790.1,763000.0,88.21732350000896,732809.0862874903,728747.4533256539
1790.2,768000.0,88.21463656360389,732763.3395213673,728705.1469465308
1790.3,768000.0,88.2666884351073,733649.5550594195,729524.7146168831
1790.4,768000.0,88.25385641949795,733431.081999968,729322.6718308099
1790.5,768000.0,88.15452967598613,731739.9823160972,727758.7513524015
1790.6,768000.0,88.12433114826979,731225.8335695576,727283.2691786829
1790.7,768000.0,88.10914351406586,730967.254636101,727044.1366821337
1790.8,768000.0,88.19084879159419,732358.3378843127,728330.6034704603
1790.9,768000.0,88.26712585952278,733657.0024825865,729531.6019563542
1791.0,768000.0,88.30231632138194,734256.1420176325,730085.6831836286
1791.1,768000.0,88.33182648254824,734758.5708948397,730550.3268811603
1791.2,768000.0,88.34652842288737,735008.8805876854,730781.8120256015
1791.3,772000.0,88.23457294966056,733102.7689133512,729019.0495403048
1791.4,772000.0,88.28698487612024,733995.1146113302,729844.286351712
1791.5,772000.0,88.31840780119494,734530.1094856339,730339.0469194935
1791.6,772000.0,88.30063329370854,734227.4874230509,730059.1835587432
1791.7,767000.0,88.28392679724114,733943.0489133836,729796.1362562338
1791.8,767000.0,88.30486258075162,734299.4936695932,730125.774573226
1791.9,767000.0,88.3404505319646,734905.4007085038,730686.1143540221
1792.0,767000.0,88.3332634489876,734783.036143628,730572.9522201358
1792.1,767000.0,88.29169557842818,734075.3172526541,729918.4573508464
1792.2,754000.0,88.24657604777181,733307.1291360238,729208.0408459373
1792.3,754000.0,88.26042672201507,733542.9454932909,729426.1226265631
1792.4,754000.0,88.24126009762251,733216.6217731617,729124.3400921752
1792.5,754000.0,88.20250132895637,732556.7295918507,728514.0751233287
1792.6,754000.0,88.25320937159779,733420.0656063894,729312.4839254604
1792.7,754000.0,88.30262572694187,734261.4098400343,730090.5548392795
